Symbol,Date,Open,High,Low,Close,Volume
TSLA,01-Jan-2019,332.8,332.8,332.8,332.8,0
TSLA,02-Jan-2019,306.1,315.13,298.8,310.12,11658600
TSLA,03-Jan-2019,307,309.4,297.38,300.36,6965100
TSLA,04-Jan-2019,306,318,302.73,317.69,7394100
TSLA,07-Jan-2019,321.72,336.74,317.75,334.96,7551200
TSLA,08-Jan-2019,341.96,344.01,327.02,335.35,7008500
TSLA,09-Jan-2019,335.5,343.5,331.47,338.53,5432900
TSLA,10-Jan-2019,334.4,345.39,331.79,344.97,6056300
TSLA,11-Jan-2019,342.09,348.41,338.77,347.26,5039000
TSLA,14-Jan-2019,342.38,342.5,334,334.4,5247200
TSLA,15-Jan-2019,335,348.8,334.5,344.43,6056500
TSLA,16-Jan-2019,344.78,352,343.5,346.05,4691700
TSLA,17-Jan-2019,346.21,351.5,344.15,347.31,3676700
TSLA,18-Jan-2019,323,327.13,299.73,302.26,24150700
TSLA,21-Jan-2019,302.26,302.26,302.26,302.26,0
TSLA,22-Jan-2019,304.82,308,295.5,298.92,12066700
TSLA,23-Jan-2019,292.5,294.5,281.69,287.59,12529900
TSLA,24-Jan-2019,283.03,293.68,279.28,291.51,8012100
TSLA,25-Jan-2019,294.39,298.52,289.55,297.04,7258000
TSLA,28-Jan-2019,292.91,297.46,287.75,296.38,6423200
TSLA,29-Jan-2019,295.27,298.56,291.8,297.46,4621600
TSLA,30-Jan-2019,300.45,309,298.49,308.77,11250300
TSLA,31-Jan-2019,301,311.56,294,307.02,12569200
TSLA,01-Feb-2019,305.42,316.1,303.5,312.21,7283400
TSLA,04-Feb-2019,312.98,315.3,301.88,312.89,7352000
TSLA,05-Feb-2019,312.49,322.44,312.25,321.35,6742700
TSLA,06-Feb-2019,319.59,324.24,315.62,317.22,5038500
TSLA,07-Feb-2019,313.3,314.7,303,307.51,6520600
TSLA,08-Feb-2019,306.83,307.445,298.5,305.8,5844200
TSLA,11-Feb-2019,311.6,318.6,310.5,312.84,7129700
TSLA,12-Feb-2019,316.2,318.19,309.62,311.81,5517500
TSLA,13-Feb-2019,312.35,312.75,305.57,308.17,5141600
TSLA,14-Feb-2019,303.38,306.77,301,303.77,5201300
TSLA,15-Feb-2019,304.5,308,303.9,307.88,3904900
TSLA,18-Feb-2019,307.88,307.88,307.88,307.88,0
TSLA,19-Feb-2019,306.56,311.54,305.47,305.64,4168400
TSLA,20-Feb-2019,304.41,306.3,299,302.56,7142100
TSLA,21-Feb-2019,301.81,303.24,290.5,291.23,8909100
TSLA,22-Feb-2019,294.49,296.5,292.1,294.71,5740500
TSLA,25-Feb-2019,297.91,302.9,297,298.77,6626500
TSLA,26-Feb-2019,292.22,302.01,288.77,297.86,8582500
TSLA,27-Feb-2019,301.78,316.295,300.55,314.74,11183900
TSLA,28-Feb-2019,318.92,320,310.81,319.88,10520600
TSLA,01-Mar-2019,306.94,307.13,291.9,294.79,22911300
TSLA,04-Mar-2019,298.12,299,282.78,285.36,17100100
TSLA,05-Mar-2019,282,284,270.1,276.54,18771100
TSLA,06-Mar-2019,276.48,281.51,274.39,276.24,10335700
TSLA,07-Mar-2019,278.84,284.7,274.25,276.59,9437700
TSLA,08-Mar-2019,276.91,285.59,275.89,284.14,8819600
TSLA,11-Mar-2019,283.52,291.28,280.5,290.92,7389500
TSLA,12-Mar-2019,286.49,288.07,281.06,283.36,7499700
TSLA,13-Mar-2019,283.9,291.99,282.7,288.96,6844600
TSLA,14-Mar-2019,292.45,295.39,288.29,289.96,7103400
